,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
45,46,Boss Bitch,Doja Cat,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
46,47,She Believes In Me,Kenny Rogers,https://open.spotify.com/track/5ggOAMsJCAYDHnyoqJ0xAD,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
47,48,Just Dropped In (To See What Condition My Condition Was In),The First Edition,https://open.spotify.com/track/4Wrc3Jz4POj0ibPj5iuq0r,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
48,49,You Decorated My Life,Kenny Rogers,https://open.spotify.com/track/6SFeCisbYSqaQwL9hucoF2,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
49,50,I Do,Astrid S,https://open.spotify.com/track/6yKkgZBuakFy6SPtsZBR5H,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
0,1,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
1,2,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
2,3,death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
3,4,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
4,5,Vibe,Cookiee Kawaii,https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
5,6,I'm Yer Dad,GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
6,7,Moral of the Story,Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
7,8,WHATS POPPIN,Jack Harlow,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
8,9,She Gon Go,Trill Ryan,https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
9,10,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
