,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
34,35,Si Veo a Tu Mamá,Bad Bunny,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,6s22t5Y3prQHyaHWUN1R1C,modern rock,,
35,36,Psycho!,MASN,https://open.spotify.com/track/5LKkteRQ1wWv7XCIEA5F2q,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,0L5BtJ0tpOgMcQO94P26Tp,trap queen,,
36,37,Drop 'Em Out,Wheeler Walker Jr.,https://open.spotify.com/track/0imfNymwLWKyhLBlBZYg53,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,pop rap,rap
37,38,Trust,Brent Faiyaz,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,1E2AEtxaFaJtH0lO7kgNKw,contemporary country,country,country road
38,39,Love Will Turn You Around,Kenny Rogers,https://open.spotify.com/track/1M2a5TNHqmr2zXZZcB7xTe,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,6PjV05LlULv9XmFu7HeAia,outlaw country,redneck,
39,40,Ruby Don't Take Your Love to Town,Kenny Rogers & The First Edition,https://open.spotify.com/track/55JrQ3cHaR9lWGnmAZ0sGy,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,5ZS223C6JyBfXasXxrRqOk,alternative r&b,dance pop,pop
40,41,You Can't Make Old Friends - Duet with Dolly Parton,Kenny Rogers,https://open.spotify.com/track/48Xp0fGOluD1NJmHOeYFg5,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,67xUUajI1dXaeY4e4ouwEN,ccm,cedm,christian pop
41,42,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,0elWFr7TW8piilVRYJUe4P,corrido,corridos tumbados,nuevo regional mexicano
42,43,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
43,44,Dragonball Durag,Thundercat,https://open.spotify.com/track/62PclpoBFLl50PJpiJA5RT,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,5IbEL2xjRtKsunfmsahLuO,florida rap,underground hip hop,vapor trap
44,45,Selfish,Madison Beer,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,2oQX8QiMXOyuqbcZEFsZfm,dembow,latin,rap dominicano
45,46,Boss Bitch,Doja Cat,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,6CwfuxIqcltXDGjfZsMd9A,dance pop,electropop,metropopolis
46,47,She Believes In Me,Kenny Rogers,https://open.spotify.com/track/5ggOAMsJCAYDHnyoqJ0xAD,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,2tIP7SsRs7vjIcLrU85W8J,australian hip hop,,
47,48,Just Dropped In (To See What Condition My Condition Was In),The First Edition,https://open.spotify.com/track/4Wrc3Jz4POj0ibPj5iuq0r,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,63XBtGSEZINSyXylZxEUbv,alternative r&b,chill r&b,dance pop
48,49,You Decorated My Life,Kenny Rogers,https://open.spotify.com/track/6SFeCisbYSqaQwL9hucoF2,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,5ZS223C6JyBfXasXxrRqOk,alternative r&b,dance pop,pop
49,50,I Do,Astrid S,https://open.spotify.com/track/6yKkgZBuakFy6SPtsZBR5H,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
0,1,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,3O5HD95HTEPgoPFOjAb7yV,viral rap,,
1,2,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,6bmlMHgSheBauioMgKv2tn,emo rap,sad rap,
2,3,death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,1lmU3giNF3CSbkVSQmLpHQ,tropical house,,
3,4,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0DbBBj0ScPumRqKXswGQH1,viral rap,,
4,5,Vibe,Cookiee Kawaii,https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0Cp8WN4V8Tu4QJQwCN5Md4,alt z,nz pop,pop
5,6,I'm Yer Dad,GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,6P5NO5hzJbuOqSdyPB7SJM,alt z,electropop,indie pop
6,7,Moral of the Story,Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,2LIk90788K0zvyj2JJVwkJ,deep underground hip hop,kentucky hip hop,pop rap
7,8,WHATS POPPIN,Jack Harlow,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0Br4l2km0ic7BSsNh1E5h4,,,
8,9,She Gon Go,Trill Ryan,https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0C86lmpnwiyLDUiyo4d0P1,,,
9,10,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,4DMkrFIqGXLycc4YLYTn1i,ottawa rap,viral rap,
