,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
3,4,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,jan_viral_50.csv,3.0,January,,Viral 50,
4,5,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,jan_viral_50.csv,4.0,January,,Viral 50,
5,6,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,jan_viral_50.csv,5.0,January,,Viral 50,
6,7,When There Was Me and You,Joshua Bassett,https://open.spotify.com/track/0vS9Gkt1dAT2PBBiaPqcA4,jan_viral_50.csv,6.0,January,,Viral 50,
7,8,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,jan_viral_50.csv,7.0,January,,Viral 50,
8,9,Crunk Ain't Dead,Duke Deuce,https://open.spotify.com/track/4RsTfAuTiUyL7GKGPiNC0w,jan_viral_50.csv,8.0,January,,Viral 50,
9,10,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,jan_viral_50.csv,9.0,January,,Viral 50,
10,11,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,jan_viral_50.csv,10.0,January,,Viral 50,
11,12,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,jan_viral_50.csv,11.0,January,,Viral 50,
12,13,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,jan_viral_50.csv,12.0,January,,Viral 50,
13,14,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,jan_viral_50.csv,13.0,January,,Viral 50,
14,15,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,jan_viral_50.csv,14.0,January,,Viral 50,
15,16,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,jan_viral_50.csv,15.0,January,,Viral 50,
