,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date
45,46,Got It On Me,Pop Smoke,2953723,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
46,47,Lets Link,WhoHeem,2938429,https://open.spotify.com/track/0wYOlCybpxFc2azWLyYj0S,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
47,48,21,Polo G,2881931,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
48,49,death bed (coffee for your head),Powfu,2875423,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
49,50,Electric Love,BØRNS,2847971,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
50,51,Before You Go,Lewis Capaldi,2770167,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
51,52,Righteous,Juice WRLD,2760475,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
52,53,Breaking Me,Topic,2756630,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
53,54,24 (feat. Lil Baby),Money Man,2739763,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
54,55,Rain On Me (with Ariana Grande),Lady Gaga,2702836,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
55,56,After Party,Don Toliver,2698609,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
56,57,Still Don't Know My Name,Labrinth,2696877,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
57,58,Girls in the Hood,Megan Thee Stallion,2598702,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
58,59,Tap In,Saweetie,2588630,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
59,60,Someone You Loved,Lewis Capaldi,2585846,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
60,61,Adore You,Harry Styles,2577350,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
61,62,GO (feat. Juice WRLD),The Kid LAROI,2572235,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
62,63,Toosie Slide,Drake,2517366,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
63,64,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,2516025,https://open.spotify.com/track/5woaU1FNkqCwg6WzWiQPW5,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
64,65,Rags2Riches 2 (feat. Lil Baby),Rod Wave,2475132,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
65,66,cardigan,Taylor Swift,2466448,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
66,67,Flex (feat. Juice WRLD),Polo G,2456675,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
67,68,Over Now (with The Weeknd),Calvin Harris,2438612,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
68,69,WHATS POPPIN,Jack Harlow,2434047,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
69,70,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2421688,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
70,71,goosebumps,Travis Scott,2412927,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
71,72,Life Is Good (feat. Drake),Future,2412097,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
72,73,Sunday Best,Surfaces,2372890,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
73,74,hot girl bummer,blackbear,2371702,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
74,75,The Bigger Picture,Lil Baby,2326386,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
75,76,Whiskey Glasses,Morgan Wallen,2313370,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
76,77,THE SCOTTS,THE SCOTTS,2311640,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
