,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
60,61,hot girl bummer,blackbear,2778873,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
61,62,Someone You Loved,Lewis Capaldi,2750372,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
62,63,HIGHEST IN THE ROOM,Travis Scott,2742680,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
63,64,Enjoy Yourself (feat. Karol G),Pop Smoke,2740315,https://open.spotify.com/track/3NWrHCwvyII4fTx05PN3IO,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
64,65,Ballin' (with Roddy Ricch),Mustard,2736027,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
65,66,Bad Bitch From Tokyo (Intro),Pop Smoke,2712082,https://open.spotify.com/track/4OGIeHtYhRTJ8iW21UUyZW,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
66,67,Stunnin' (feat. Harm Franklin),Curtis Waters,2710135,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
67,68,Life's A Mess (feat. Halsey),Juice WRLD,2709057,https://open.spotify.com/track/1yHdZ9S6rBlNPH3LDNMy2P,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
68,69,Tommy Lee (feat. Post Malone),Tyla Yaweh,2684479,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
69,70,High Fashion (feat. Mustard),Roddy Ricch,2683146,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
70,71,Be Kind (with Halsey),Marshmello,2683011,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
71,72,ily (i love you baby) (feat. Emilee),Surf Mesa,2681885,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
72,73,Falling,Trevor Daniel,2678746,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
73,74,ROXANNE,Arizona Zervas,2666407,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
74,75,Are You Bored Yet? (feat. Clairo),Wallows,2656363,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
75,76,Bandit (with YoungBoy Never Broke Again),Juice WRLD,2599190,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
76,77,GOOBA,6ix9ine,2580450,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
77,78,Deep End Freestyle,Sleepy Hallow,2557247,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
