,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
44,45,Savage,Megan Thee Stallion,3428954,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
45,46,P2,Lil Uzi Vert,3393514,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
46,47,Break My Heart,Dua Lipa,3372675,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
47,48,Turks (feat. Travis Scott),NAV,3324357,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
48,49,Boss Bitch,Doja Cat,3294481,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
49,50,Myron,Lil Uzi Vert,3288492,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
50,51,hot girl bummer,blackbear,3202084,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
51,52,Party Girl,StaySolidRocky,3167207,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
52,53,Someone You Loved,Lewis Capaldi,3154290,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
53,54,Lucid Dreams,Juice WRLD,3127729,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
54,55,Play Date,Melanie Martinez,3124939,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
55,56,PTSD,G Herbo,3102920,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
56,57,Dance Monkey,Tones And I,3090314,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
57,58,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,3080055,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
58,59,Godzilla (feat. Juice WRLD),Eminem,3063272,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
59,60,In Your Eyes,The Weeknd,3044290,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
