,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type
25,26,Mood Swings (feat. Lil Tjay),Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
26,27,blind,ROLE MODEL,https://open.spotify.com/track/6d1ffV5RisInvrDxkLgBxe,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
27,28,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
28,29,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
29,30,Smile (with The Weeknd),Juice WRLD,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
30,31,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,https://open.spotify.com/track/24SDeYAeTFda8OUzVI1VR6,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
31,32,Things A Man Oughta Know,Lainey Wilson,https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
32,33,Still Don't Know My Name,Labrinth,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
33,34,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
34,35,Heat Waves,Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
35,36,Douha (Mali Mali),Disclosure,https://open.spotify.com/track/33J9lmeViWXN0Le0vWRyjc,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
36,37,Shoes,Lil Wayne,https://open.spotify.com/track/5yHevmbP3PEex0kxP2cBc5,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
37,38,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
38,39,Monte Carlo,Remi Wolf,https://open.spotify.com/track/3CXCtE8qJIFtUJJZRKCcXC,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
39,40,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
40,41,Be Like That - feat. Swae Lee & Khalid,Kane Brown,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
41,42,Wildfire,Nate Smith,https://open.spotify.com/track/21HxYsyuuXZNqB1Dme5PQN,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
