,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
650,50,51,Suicidal,YNW Melly,3134247,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
651,51,52,Woah,Lil Baby,3075816,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
652,52,53,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,3068115,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
653,53,54,Lucid Dreams,Juice WRLD,3067417,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
654,54,55,La Difícil,Bad Bunny,2941222,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
655,55,56,My Oh My (feat. DaBaby),Camila Cabello,2824883,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4nDoRrQiYLoBzwC5BhVJzF,dance pop,electropop,pop
656,56,57,Robbery,Juice WRLD,2812185,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
657,57,58,Safaera,Bad Bunny,2776949,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
658,58,59,OUT WEST (feat. Young Thug),JACKBOYS,2772322,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,7A8S43ryYdbWpJKeHRZRcq,rap,trap,
659,59,60,Bean (Kobe) [feat. Chief Keef],Lil Uzi Vert,2753504,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
660,60,61,PTSD,G Herbo,2746531,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,5QdEbQJ3ylBnc3gsIASAT5,chicago drill,chicago rap,drill
661,61,62,Silly Watch,Lil Uzi Vert,2738199,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
