,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
36,37,I'm Yer Dad,GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,0yrzVTuk6PgF51NYgfgKXe,louisville indie,,
37,38,Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,4ETSs924pXMzjIeD6E9b4u,bedroom soul,pop,
38,39,Josslyn,Olivia O'Brien,https://open.spotify.com/track/0UhKDHeZw2kHOz9HiRNFBH,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,1QRj3hoop9Mv5VvHQkwPEp,alt z,dance pop,electropop
39,40,Surrender,Natalie Taylor,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,2WxjxdeF7GGdcCK276qViY,unspecified,,
40,41,Por Tu Culpa,Porte Diferente,https://open.spotify.com/track/72jvp2nP4zstRmFdhyWgGu,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,1OZhgL2E9qx49PhVzWRcuf,corrido,corridos tumbados,nuevo regional mexicano
41,42,Six Feet Apart,Alec Benjamin,https://open.spotify.com/track/22AJMMJMaQ3qtTwlegrKcm,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,5IH6FPUwQTxPSXurCrcIov,alt z,electropop,pop
42,43,Kuntry & Wistern,Koe Wetzel,https://open.spotify.com/track/3GcZ6JWVoyqtTZS3BS47vI,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,1Tie3AZgLQZqYEp8Fv4zOZ,texas country,,
43,44,Favorito,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,28gNT5KBp7IjEOQoevXf9N,colombian pop,reggaeton colombiano,
44,45,Outta There,Moe,https://open.spotify.com/track/6QlKONDgjp9JqcthAtDlKk,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,4s03DfC6cLxCYirblvaKlO,unspecified,,
45,46,Boys Ain't Shit (feat. Tate McRae & Audrey Mika),SAYGRACE,https://open.spotify.com/track/7tMEUrMaMzE0YptCGfsXzt,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6y5amJcTjeDgLXIjtQLMst,alt z,dance pop,pop
46,47,Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,https://open.spotify.com/track/0wQL4dv6dQjuiGdmJIjRCu,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,2Kk6KjwTS9Q530Jmul6eHc,unspecified,,
