,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type
20,21,Djadja (feat. Maluma) - Remix,Aya Nakamura,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
21,22,Both Of Us - Edit,Jayda G,https://open.spotify.com/track/75rGONmoi48LLYBFaGiYsv,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
22,23,Do It,Chloe x Halle,https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
23,24,Don't Rush (feat. DaBaby),Young T & Bugsey,https://open.spotify.com/track/3AMxuq6id3YGB57eWeheZQ,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
24,25,Prospect (ft. Lil Baby),iann dior,https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
25,26,Satisfied,Renée Elise Goldsberry,https://open.spotify.com/track/3dP0pLbg9OfVwssDjp9aT0,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
26,27,Wait for It,Leslie Odom Jr.,https://open.spotify.com/track/7EqpEBPOohgk7NnKvBGFWo,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
27,28,SAD - Imanbek xxx Remix,Rasster,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
28,29,no song without you,HONNE,https://open.spotify.com/track/1lNHWPDvKEbamKezpLq7HW,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
29,30,Water,DJ Drewski,https://open.spotify.com/track/4tISZPO2HdivqdTyuq5kDT,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
30,31,Eyes Blue Like The Atlantic,Sista Prod,https://open.spotify.com/track/2RrZbxdl9nuFMCrO71tXTG,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
31,32,Helpless,Phillipa Soo,https://open.spotify.com/track/54Sc7mZQ1RM03STpk4SfaA,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
32,33,Mariposa,Peach Tree Rascals,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
33,34,Tommy Lee (feat. Post Malone),Tyla Yaweh,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
34,35,We Paid (feat. 42 Dugg),Lil Baby,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
35,36,Think About Things,Daði Freyr,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
36,37,La Curiosidad,Jay Wheeler,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
37,38,Lil Scammer That Could (feat. Denzel Curry),Guapdad 4000,https://open.spotify.com/track/2nSKol7UyxwffI6jLYTuUd,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
38,39,Go Crazy,Chris Brown,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
39,40,Grew Apart,Logan Mize,https://open.spotify.com/track/2JK5ALIvepkQAWNItmKBZu,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
40,41,Alexander Hamilton,Leslie Odom Jr.,https://open.spotify.com/track/4TTV7EcfroSLWzXRY6gLv6,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
41,42,As the World Caves In,Matt Maltese,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
42,43,i don’t really like your boyfriend,Avenue Beat,https://open.spotify.com/track/6eqBr4nAQCVIbUbE8IBDP1,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
43,44,Party Girl,StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
44,45,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
45,46,Судно (Борис Рижий),Molchat Doma,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
46,47,ROCKSTAR (feat. Roddy Ricch),DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
47,48,Kolors,Monte Booker,https://open.spotify.com/track/4IOYk6epkzXT38U4ShauZ6,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
48,49,money machine,100 gecs,https://open.spotify.com/track/61bwFjzXGG1x2aZsANdLyl,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
49,50,Are You Bored Yet? (feat. Clairo),Wallows,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
0,1,NEVER MET!,CMTEN,https://open.spotify.com/track/7nJWotqUUPhVaCAOov6qGp,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
1,2,Stunnin' (feat. Harm Franklin),Curtis Waters,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
2,3,Then Leave (feat. Queendom Come),BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
3,4,Savage Love (Laxed - Siren Beat),Jawsh 685,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
4,5,In This Shirt,The Irrepressibles,https://open.spotify.com/track/60mItLdFl6xkYc1sAjlZlf,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
5,6,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
6,7,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
7,8,Hood Baby,KBFR,https://open.spotify.com/track/5au5NgWCdev4WeLRB3YEOR,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
8,9,I See Red,Everybody Loves an Outlaw,https://open.spotify.com/track/5MAK1nd8R6PWnle1Q1WJvh,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
9,10,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
10,11,Party Girl (Remix),StaySolidRocky,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
11,12,GO (feat. Juice WRLD),The Kid LAROI,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
12,13,Rags2Riches (feat. ATR Son Son),Rod Wave,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
13,14,Tap In,Saweetie,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
14,15,Tell Me U Luv Me (with Trippie Redd),Juice WRLD,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
15,16,Renee,SALES,https://open.spotify.com/track/5MeUMSRreLHYLhw8ZTyqpk,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
16,17,Mariposa,Peach Tree Rascals,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
17,18,Djadja (feat. Maluma) - Remix,Aya Nakamura,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
18,19,money machine,100 gecs,https://open.spotify.com/track/61bwFjzXGG1x2aZsANdLyl,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
19,20,Righteous,Juice WRLD,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
20,21,Como Llora,Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
21,22,Water,DJ Drewski,https://open.spotify.com/track/4tISZPO2HdivqdTyuq5kDT,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
22,23,Eyes Blue Like The Atlantic,Sista Prod,https://open.spotify.com/track/2RrZbxdl9nuFMCrO71tXTG,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
23,24,The Man Who Loves You The Most,Zac Brown Band,https://open.spotify.com/track/58DvikiJcEjow3Skg80yxX,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
24,25,SAD - Imanbek xxx Remix,Rasster,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
25,26,You'll Be Back,Jonathan Groff,https://open.spotify.com/track/6OG1S805gIrH5nAQbEOPY3,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
26,27,Experience,Victoria Monét,https://open.spotify.com/track/0hRRNHeSZv2x6pHCcXPAct,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
27,28,i don’t really like your boyfriend,Avenue Beat,https://open.spotify.com/track/6eqBr4nAQCVIbUbE8IBDP1,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
28,29,La Curiosidad,Jay Wheeler,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
29,30,Go Crazy,Chris Brown,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
30,31,Satisfied,Renée Elise Goldsberry,https://open.spotify.com/track/3dP0pLbg9OfVwssDjp9aT0,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
31,32,The Bigger Picture,Lil Baby,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
32,33,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",100 gecs,https://open.spotify.com/track/2T93MtJuKMzcGRTR8fdizV,viral-us-weekly-2020-07-16--2020-07-16.csv,July,2020-07-16,29,Viral 50
