,Unnamed: 0,Unnamed: 0.1,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
66,66,16,17,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
67,67,17,18,3 Musketeers,NextYoungin,https://open.spotify.com/track/57Oi4yqY27uJzCyqFWIP5q,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,2u1aL8XADqj0nJFHMKRjNw,viral rap,unspecified,unspecified
68,68,18,19,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cSbcJTJBBSXDjRNR2qD61,unspecified,unspecified,unspecified
69,69,19,20,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,3PyJHH2wyfQK3WZrk9rpmP,alt z,electropop,escape room
70,70,20,21,This Side of Paradise,Coyote Theory,https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,48vmXfV0QPy3ljXBp81Fwn,unspecified,unspecified,unspecified
71,71,21,22,Backyard Boy,Claire Rosinkranz,https://open.spotify.com/track/0QpOqKz66ZxHNqj2PPHiFF,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,3V0ZQW0dNuVaFtbVYgSI24,modern indie pop,unspecified,unspecified
72,72,22,23,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",Sista Prod,https://open.spotify.com/track/1eCTQhsNA31FcwyNcJcf86,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cSbcJTJBBSXDjRNR2qD61,unspecified,unspecified,unspecified
73,73,23,24,Ser O Parecer,RBD,https://open.spotify.com/track/5sgvzXoYFCr5F5tUZdAA20,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
74,74,24,25,Overwhelmed,Royal & the Serpent,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,64EHXDoln95lnccszdPum0,alt z,indie electropop,modern alternative pop
75,75,25,26,Enséñame,RBD,https://open.spotify.com/track/3eo3Dw5OGSWCzJDVHLKE3v,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
