,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
62,63,BOP,DaBaby,2833919,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
63,64,@ MEH,Playboi Carti,2815582,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,699OTQXzgjhIYAHMy9RyPD,atl hip hop,rap,trap
64,65,Yo Perreo Sola,Bad Bunny,2790749,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
65,66,Broke In A Minute,Tory Lanez,2740127,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,2jku7tDXc6XoB6MO2hFuqg,canadian hip hop,hip hop,melodic rap
66,67,everything i wanted,Billie Eilish,2733209,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
67,68,Six Feet Apart,Luke Combs,2713029,https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,718COspgdWOnwOFpJHRZHS,contemporary country,,
68,69,FIND MY WAY,DaBaby,2693525,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
69,70,Robbery,Juice WRLD,2672694,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
70,71,Before You Go,Lewis Capaldi,2566134,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4GNC7GD6oZMSxPGyXy4MNB,pop,uk pop,
71,72,That Way - Bonus Track,Lil Uzi Vert,2527465,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
72,73,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,2475677,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6icQOAFXDZKsumw3YXyusw,atl hip hop,hip hop,melodic rap
73,74,All Girls Are The Same,Juice WRLD,2431482,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
74,75,Selfish,Madison Beer,2431354,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,2kRfqPViCqYdSGhYSM9R0Q,alt z,dance pop,electropop
