,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
56,7,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
57,8,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,7uaIm6Pw7xplS8Dy06V6pT,alternative r&b,melodic rap,pop rap
58,9,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
59,10,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
60,11,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
61,12,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
62,13,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,2mVVjNmdjXZZDvhgQWiakk,neo-psychedelic,,
63,14,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,0H39MdGGX6dbnnQPt6NQkZ,melodic rap,rap,slap house
64,15,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
65,16,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
66,17,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,4nDoRrQiYLoBzwC5BhVJzF,dance pop,electropop,pop
67,18,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
68,19,The Mandalorian,Ludwig Goransson,https://open.spotify.com/track/6tJFtthY0rI1x06qb8NjK0,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,24eDfi2MSYo3A87hCcgpIL,nordic soundtrack,scorecore,soundtrack
