,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
629,29,30,No Idea,Don Toliver,4410317,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4Gso3d4CscCijv0lmajZWs,rap,trap,
630,30,31,My Oh My (feat. DaBaby),Camila Cabello,4377307,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4nDoRrQiYLoBzwC5BhVJzF,dance pop,electropop,pop
631,31,32,Blue World,Mac Miller,4280532,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4LLpKhyESsyAXpc4laK94U,hip hop,pittsburgh rap,rap
632,32,33,Sum 2 Prove,Lil Baby,4256280,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
633,33,34,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4251668,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
634,34,35,HIGHEST IN THE ROOM,Travis Scott,4047303,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,0Y5tJX1MQlPlqiwlOH1tJY,rap,slap house,
635,35,36,hot girl bummer,blackbear,4018527,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,2cFrymmkijnjDg9SS92EPM,electropop,pop,pop rap
636,36,37,Tusa,KAROL G,3984851,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,790FomKkXshlbRYZFtlgla,latin,reggaeton,reggaeton colombiano
637,37,38,when the party's over,Billie Eilish,3901910,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
638,38,39,Memories,Maroon 5,3878403,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,04gDigrS5kc9YWfZHwBETP,pop,pop rock,
639,39,40,Lose You To Love Me,Selena Gomez,3859458,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,0C8ZW7ezQVs4URX5aX7Kqx,dance pop,pop,post-teen pop
640,40,41,Rare,Selena Gomez,3832117,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,0C8ZW7ezQVs4URX5aX7Kqx,dance pop,pop,post-teen pop
641,41,42,Watermelon Sugar,Harry Styles,3822672,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
